Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.09.11,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,9,-94,1845,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.13,-8.500517,51.894671,0,A,2,LTE,-117,-13,6,9,-94,2829,94,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.14,-8.500517,51.894671,0,A,2,LTE,-114,-13,7,6,-94,1521,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.15,-8.500517,51.894671,0,A,2,LTE,-114,-13,7,6,-94,1588,40,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.16,-8.500517,51.894671,0,A,2,LTE,-116,-13,7,6,-94,3791,70,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.17,-8.500517,51.894671,0,A,2,LTE,-116,-13,7,6,-94,1185,25,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.18,-8.500517,51.894671,0,A,2,LTE,-118,-12,5,6,-94,1856,65,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.19,-8.500517,51.894671,0,A,2,LTE,-118,-12,5,6,-94,3858,71,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.20,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,10,-94,1129,45,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.21,-8.500517,51.894671,0,A,2,LTE,-116,-13,6,7,-94,4764,88,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.23,-8.500517,51.894671,0,A,2,LTE,-115,-12,6,7,-94,581,14,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.09.24,-8.500517,51.894671,0,A,2,LTE,-115,-12,6,6,-94,1498,46,D,-,-,-8.491719,51.893905,609.7
